ScholarshipID,SponsorID,ScholarshipName,ScholarshipLink,ScholarshipContactFName,ScholarshipContactLName,ScholarshipContactEmail,ScholarshipContactTelephone,ScholarshipAward,ScholarshipDescription,ScholarshipOccurence,ScholarshipEligibilityReqs,ScholarshipEligibilityReqsOther,ScholarshipApplListDate,ScholarshipApplStartDate,ScholarshipApplEndDate,Criteria_Gender,Criteria_AgeMinimum,Criteria_AgeMaximum,Criteria_Citizenship,Criteria_YearOfNeed,ScholarshipStatus,Criteria_EducationLevel_NOTUSED,Criteria_EnrollmentStatus,Criteria_SchoolType_NOTUSED,Crtieria_MinimumGPA,Criteria_USMilitaryService,Criteria_FieldOfStudy,Criteria_FAAPilotCertificate,Criteria_FAAPilotRating,Criteria_FAAMechanicCertificate,Notes_Admin
200167,100069,Donald A. Baldwin Sr. Business Aviation Management Scholarship,https://nbaa.org/professional-development/scholarships/baldwin-business-aviation-management-scholarship/,Molly,Hitch,scholarships@nbaa.org,(202) 783-9353,"Up to $1,225 to be used for candidates in pursuit of CAM certification or advanced safety-related courses.","The family of the late Donald A. Baldwin Sr., in coordination with the NBAA Business Aviation Management Committee, established the Donald A. Baldwin Sr. Business Aviation Management Scholarship in 2007 to benefit individuals seeking to become NBAA Certified Aviation Managers (CAMs). The scholarship promotes professional development in business aviation by providing financial support for qualified CAM exam candidates.",,1. Applicants using the funds to pursue their CAM certification must be eligible to take the CAM exam within two years of the date of the scholarship award.<br>2. Must meet the minimum qualifications to take the CAM exam by submitting a completed CAM application to NBAA.,1. Current resume.<br>2. Completed essay.<br>3. Two signed letter of recommendation.,,,11/30/2017,,,,,|913010|,Done,,,,0,,|911010|,,,,
200009,100139,\Tools Beneath Your Wings\ Scholarship (Category I) for Part 147 A&P School Students,https://www.awam.org/content.aspx?page_id=22&club_id=975301&module_id=312596,Stacey,Rudser,scholarships@awam.org,,$500 ,"Richard L. Waters - Pilot and mechanic, shared his knowledge and skills with individuals of all ages. This $500 cash award honors his memory and the principles that he exemplified as an innovator, mechanic, and individual. This award may be applied to any area of aircraft technology, construction, or maintenance. The award will be directly deposited to the school, vendor, or other institution of your choice.",Annual,1. Must be an active AWAM member.,"Please scan the following documents into a single PDF file in the order they are listed below. You must attach a separate set of application documents for each scholarship you are applying for that requires an extra essay. <br>1. Resume<br>2. Essay (250 words) explaining your interest in aviation.<br>3. Two letters of recommendation<br>4. Unofficial Transcript(s)<br>5. Additionally you may either write an essay on the essay topic or answer the questions that follow.<br>Essay Topic: Why are you interested in this area of aviation?<br>Questions: (1) Describe any project(s) that you have worked on. (If possible, include a photo. The project will be returned only if requested by the applicant.), (2) How will this award be used? (Be specific.), (3) How will it benefit you?, and (4) How will it benefit others?",,,11/1/2020,,,,,,Done,|College Freshman|College Sophomore|College Junior|College Senior|Bachelor\'s Degree|Pursuing Master\'s Degree|Master\'s Degree|,,"|Four-year College or University|Two-year College|Trade, Technical or Vocational School|FAA Part 147 Aviation Maintenance School|Graduate School|",0,,|911007|,,,|918001|918002|918003|918004|,
200326,100006,Pat Napolitano Memorial Scholarship for Aspiring Technicians,https://aea.net/educationalfoundation/scholarships.asp,,,info@aea.net,,"$3,000 ","Pat Napolitano, Fleet Support Representative and Staggerwing Pilot for Mid-Continent Instruments and Avionics was a respected employee and member of the aviation community. With more than 30 years of experience and over 4,500 hours of flight time, his passion for aircraft maintenance and flying was apparent to anyone who had the opportunity to meet him. Available to all graduating seniors or current college students pursuing their Aviation Technician Certification.",Annual,1. Must be a graduating high school senior or current college student pursuing their Aviation Technician Certification.,1. Write a 300-word essay on the following topic: \What are FAA\'s \NextGen\ technologies and how will they change aircraft maintenance and the skills and the knowledge required of tomorrow\'s technicians?\<br>2. Most recent high school or college official transcripts.,,,4/1/2020,,,,,|913001|913003|913004|913005|913006|913007|913008|913009|,Done,|High School Senior (12th)|High School Graduate (GED)|College Freshman|College Sophomore|College Junior|College Senior|,,,0,,|911007|,,,|918001|918002|918003|918004|,
200385,100009,Student Program Scholarship,https://www.glcaaae.org/events/awards-scholarships/,Mark,Miller,mark.miller@mspmac.org,(612) 726-5111,"Reimbursements for successful completion of an examination program, conference or course work attendance.",This scholarship is for anyone seriously pursuing a degree in airport management. Active members of GLC-AAAE will be given preference. Examples of programs that are available for assistance are:<br><br>-National Membership Dues<br>-Conference Sponsorship<br>-Internship Sponsor<br>-Scholastic Scholarship<br>-Job Shadowing<br>-Hiring Network,Annual,"1. Active membership is not required but those who are will be given preference.<br>2. Must be pursuing a degree in airport management.<br><br>NOTE: Requests for Scholarship and Development Assistance reimbursement may be submitted with this application for an AAAE event or other assistance needs that occurred within the preceding 12 months, or that will occur within the upcoming 12 months. Reimbursements will be awarded to students upon confirmation of successful completion of an examination program, conference or course work attendance.",1. Provide an autobiography - not to exceed one page.<br>2. Provide a statement of interest in aviation and airport management - not to exceed one page.<br>3. Most recent copy of academic transcripts - does not have to be official.<br>4. Any receipts and pertinent documents if you are requesting reimbursements for expenses incurred within the preceding 12 months.,,,10/31/2019,,,,,|913010|,Done,,,,0,,|911005|,,,,
200156,100149,David Wagner Scholarship,https://www.airportpurchasing.org/chapters/nigp-apg/scholarship.cfm,Tracy,Osborne,tosborne@columbusairports.com,,$500 ,"The Airport Purchasing Group (APG) established the David Wagner Scholarship Award Program for the purpose of providing funds to individual APG members who are interested in furthering the development of their purchasing skills and professionalism; while ascribing to the values of and participation in APG as demonstrated by Mr. David Wagner, one of APG\''''s founding members, and the first APG President.<br><br>This scholarship is available for use for the APG\''''s annual conference costs (registration, airfare, hotel, etc.).",Annual,1. Must be an APG member in good standing for twelve months prior to the date an application is submitted.<br><br>NOTE: The application will be considered only if membership dues are paid through the year of the conference.,1. Must submit a complete scholarship award application and any attachments. Failure to do so may result in disqualification. Clarifications may be requested.<br>2. Completed applications should be submitted by the date noted on the form to receive consideration.,,,6/30/2011,,,,,|913010|,Incomplete,,,,0,,|911010|,,,,
200157,100009,Delegate-Member Program Scholarship,https://www.glcaaae.org/events/awards-scholarships/,Mark,Miller,mark.miller@mspmac.org,(612) 726-5111,Financial assistance in a program outlined in the Description above.,"This scholarship is available to all delegate members within GLC-AAAE who have been active members, in good standing. Members actively involved in airport management will be given preference. Examples of programs that are available for assistance are:<br><br>-National Membership Dues<br>-Conference / Travel for Final A.A.E. Interview<br>-Conference & CEH / CEU<br>-Executive Exchange / Mentor Program<br>-Scholastic Scholarship<br>-Other",Annual,1. Must be an active member in good standing with GLC-AAAE for at least a 12 month period.<br>2. Members actively involved in Airport Management will be given preference.<br><br>NOTE: Reimbursements will be awarded to members upon confirmation of successful completion of an examination program or conference attendance. Candidates can apply to receive reimbursement for an eligible expense within the preceding 12 months or within the upcoming 12 months.,1. Provide an autobiography.<br>2. Provide a statement of interest in the event.,,6/15/2020,,,,,,|913010|,Done,,,,0,,|911005|911010|,,,,
200390,100064,Support Scholarship Essay Contest,https://www.agaviation.org/supportscholarshipcontest,Marisa,Beam,information@agaviation.org,(202) 546-5722,"$3,000 ",This scholarship award is based on a written essay. The theme for this year\'s submission is \What value does membership have for me?\,Annual,1. This competition is open to anyone sponsored by an NAAA member.<br>2. Any educational pursuit beyond high school (at any age) is eligible.<br>3. Must be a senior in high school or be registered in higher education by the fall semester of 2019.<br>4. Previous winners are not eligible to compete.,"1. Must submit a minimum of 1,500 word essay<br>2. Must submit a minimum 5-minute multi-media presentation (video or PowerPoint)",,,9/15/2019,,,,,|913003|913004|913005|913006|913007|913008|913009|913001|913002|,Done,|High School Senior (12th)|High School Graduate (or GED)|College Freshman|College Sophomore|College Junior|College Senior|Bachelor\'s Degree|Pursuing Master\'s Degree|,,"|High School|Four-year College or University|Two-year College|Trade, Technical or Vocational School|FAA Part 147 Aviation Maintenance School|Flight Training Program|FAA Part 141 School|FAA Part 61 School|Graduate School|",0,,|911001|,,,,
200185,100015,Ellis F. Hitt Digital Avionics Scholarship,https://www.aiaa.org/home/get-involved/students-educators/scholarships-graduate-awards,Michael,Lagana,scholarships@aiaa.org,(703) 264-7503,"$2,000 ","The AIAA Foundation annually awards financial aid to undergraduate and graduate students in science or engineering programs to help support future aerospace professionals. <br><br>This scholarship is offered each year to college sophomores, juniors, and seniors. Recipients can apply to renew their scholarship annually until they reach graduation.",Annual,1. Must be a current AIAA member in good standing.<br>2. Must have completed at least one academic semester of full-time college work.<br>3. Must have a minimum cumulative GPA of 3.3 on a 4.0 scale<br>4. Must be enrolled in an accredited college or university within the United States or U.S. territories.<br>5. Must be entering some field of science or engineering encompassed by the technical activities of AIAA.,"1. Official College/University Transcripts* (if you\''''ve attended more than one College/University, official transcripts from ALL schools must be provided), including undergraduate work completed through the most recent Fall term.<br>2. Assessment of a 500-1,000 word essay specifying the applicant\''''s career objectives and an outline of the academic program required to achieve the career objectives.<br>3. Three (3) professional letters of recommendation (recommendations from relatives will not be accepted). Letters of recommendation must be submitted via the online application system.<br>4. Extracurricular activities, including high school, college and community activities, offices, awards, and work experience will receive due consideration.",,10/1/2019,1/31/2020,,,,|912001|,|913005|913006|913007|,Done,|College Sophomore|College Junior|College Senior|,|914001|,|Four-year College or University|Two-year College|,3.3,,|911008|,,,,
200149,100085,Crown Circle Award,http://www.aviationeducation.org/index.php/scholarships-awards2,,,,,,"This award is a special award for outstanding educators and education supporters who have shown leadership in their field or in support of aviation education objectives. Nominees are evaluated according to the following criteria: <br>1. Demonstrated involvement in, and commitment to aerospace education.<br>2. Outstanding leadership in aerospace education, locally, nationally, or internationally.<br>3. Performance over an extended term (years), at a high level, and of great quality.",,,"1. For outstanding educators and education supporters who have shown leadership in their field or in support of aviation education objectives. Nominees are evaluated according to the following criteria:<br>a. Demonstrated involvement in, and commitment to aerospace education<br>b. Outstanding leadership in aerospace education, locally, nationally, or internationally<br>c. Performance over an extended term (years), at a high level, and of great quality",,,10/31/2019,,,,,,Incomplete,,,,0,,,,,,
200183,100107,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200107,100003,Captain Jodi Callahan Memorial Scholarship,,,,,,"$1,000 ",,Annual,,,,12/1/2019,4/30/2020,,,,,,Incomplete,,,,0,,,,,,
200110,100052,,,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200333,100010,Powered Up\' Scholarship,https://publicsafetyaviation.org/scholarship-information,Dan,Schwarzbach,dschwarzbach@PublicSafetyAviation.org,(301) 631-2406,"$1,500 ",,,"1. Must be the child of an APSA member in good standing who has been a member at least one year at the time the scholarship application is made.<br>2. May be a high school senior or a full-time college student, who has been accepted to an accredited college or university.",Applicants will need to provide:<br>1. Most recent high school or college/university or trade school transcript.<br>2. A list and description of extracurricular activities.<br>3. Letter(s) of recommendation.<br>4. Original essay of no more than 200 words describing why the applicant desires and should be considered for the scholarship.<br>5. Digital photograph of applicant in JPEG format.<br>6. Any other information the applicant believes the committee should consider.,,,,,,,,|913001|913002|913003|913004|913005|913006|913007|913008|913009|,Incomplete,|High School Senior (12th)|High School Graduate (or GED)|College Freshman|College Sophomore|College Junior|College Senior|Bachelor\'s Degree|Pursuing Master\'s Degree|Master\'s Degree|Pursuing Doctoral Degree|Doctoral Degree|,|914001|914004|,,0,,,,,,
200160,100003,Destin Flight Works Pilot Training Scholarship,https://app.smarterselect.com/programs/55565-Air-Force-Association,,,,,"$10,000 ",,,,"1. Applicant must include an essay of not more than 400 words describing how this scholarship and a private pilot\''''s license will assist in achieving their career or educational goals.<br>2. If applicant is a student, he/she should provide an unofficial transcript showing their current GPA and area of study.<br>3. Per FAA requirements, the student must be 16 years old to fly solo and 17 years old to obtain a private pilot certificate.<br>4. The scholarship will be awarded in early 2019. The recipient must be available to utilize the scholarship and complete training at Destin Flight Works by the end of 2019.<br>5. Applicant must be a current member of AFA.",,,1/15/2019,,,,,,Incomplete,,,,0,,,,,,
200241,100111,ISTAT Foundation/Diane K. Ballweg Scholarship Award,https://foundation.istat.org/Programs/Scholarships,,,istatscholarships@istat.org,(312) 321-5169,,This scholarship is awarded to four Lewis University students annually.,Annual,"1. The applicant is required to secure a nomination from the head of the aviation program at a qualified university.<br>2. Must have completed at least two years of undergraduate (bachelors) studies or currently enrolled in graduate (masters) or post graduate (doctoral) studies. <br>3. Must hold an academic ranking within the top 25% (75 - 100%)<br>4. Must have a GPA of 3.0 or above on a 4.0 scale.<br>5. Need of financial support for university tuition-only fees.<br>6. Enrolled in one of the following programs: aviation finance, aviation law, aeronautical engineering, aviation management, aeronautical science, aviation computer science, aviation maintenance, airport management, air traffic control, or related field - flight students with an interest in aviation finance, law, engineering, etc. are welcome to apply.<br>7. Commitment to a career in aviation.<br>8. Involvement in extra-curricular/community activities indicating leadership qualities.",,,3/1/2020,5/1/2020,,,,,|913001|913006|913007|913008|913009|,Incomplete,,|914001|914002|,,3,,|911003|911005|911006|911007|911008|,,,,
200497,100151,VHPA Scholarship,https://www.vhpa.org/vhpa_scholarship.htm,Sue,Stokes,scholarship@quad-a.org,(203) 268-2450,"Five (5) $1,000 awards","Since 2000, all VHPA Scholarships are administered for the VHPA by the AAAA (Army Aviation Association of America) Scholarship Foundation. All VHPA scholarships are open only to the children and grandchildren of VHPA members in good standing currently or at their death.Â  The only exceptions are if the father or grandfather flew helicopters in Vietnam and was killed in action in Vietnam or was killed while on active duty prior to the beginning of the VHPA in 1983.",Annual,1. Must be a member of the Army Aviation Association of America (AAAA). The time period of one year is waived for VHPA children/grandchildren and they only have to be a member at time of scholarship application.<br>2. Must complete and submit the Pre-Qualifying Form for the application on or before April 1.<br>3. Must be attending an accredited college or university in the fall and provide proof.,"1. Have current transcripts applicable to grade level.<br>2. Provide a photograph to be used for publicity purposes. The photo should be a head and shoulders view in pdf, jpeg, jpg or tiff format. There is a place on the application where this can be uploaded.<br>3. Compose a maximum 300-word essay.<br>4. A reference is to be completed by an individual who is aware of the applicant\''''s abilities and potential. Do not include relatives.<br>5. Academic Reporting Form is to be completed by the appropriate school official who has access to the applicant\''''s academic history. (Mandatory for Freshman applicants)",,1/1/2020,5/1/2020,,,,,|913001|913002|913003|913004|913005|913006|913007|913008|913009|,Incomplete,|College Freshman|College Sophomore|College Junior|College Senior|Bachelor\'s Degree|Pursuing Master\'s Degree|,|914001|914002|,"|Four-year College or University|Two-year College|Trade, Technical or Vocational School|FAA Part 147 Aviation Maintenance School|Flight Training Program|FAA Part 141 School|FAA Part 61 School|Graduate School|",0,,,,,,
200103,100029,CABAA/FlightSafety Professional Maintenance Training Award,https://www.cabaa.com/applications,Brian Zankowski<br>Alex Kwiatkowski,,cabaascholarships@gmail.com,(847) 537-3770,"Citation Sovereign Maintenance Initial course - Value of award is approximately $18,000",One recipient will be awarded the Citation Sovereign Maintenance Initial course. This course is designed to meet the training requirements of aviation maintenance professionals maintaining Citation Sovereign aircraft. The recipient of the award must be a college student who graduated with a degree in Aircraft Maintenance and holds a current A&P license. CABAA will also provide a $1000 travel stipend to assist in the cost of travel; additional funds will be considered on a case by case basis.,Annual,"1. Must be a college student who graduates this spring/summer or within the last five years (determined case by case) with a degree in Aviation and holds or will hold a current A&P Certificate.<br>2. Demonstrates his/her commitment to aircraft maintenance, and a desire to work in the Business Aviation field.<br>3. Must have at least a 2.5 GPA on a 4.0.<br><br>NOTE: Preference is given to Chicagoland/Illinois area residents and students, followed by residents and students of surrounding states.","1. An unofficial copy of high school transcript must be included with the application, an original shall be made available upon request.<br>2. Essay Requirements: Applicant must submit a typed essay, double-spaced, maximum of 1,000 words on the following. \Why does a career in Business Aviation appeal to you? How can Business Aviation be used as an effective tool in the modern day?\ This essay should be constructed in a manner that allows the applicant to provide as much information as possible about themselves and their goals.<br>3. Must include at least three letters of recommendation. (Other than relatives or students)<br>4. At least one recommendation letter from an individual currently involved in business aviation outside of your professors is preferred.",,,5/15/2020,,,,,,Done,|College Senior|Bachelor\'s Degree|Pursuing Master\'s Degree|Master\'s Degree|Pursuing Doctoral Degree|Doctoral Degree|,|914001|914002|914005|,"|Four-year College or University|Two-year College|Trade, Technical or Vocational School|FAA Part 147 Aviation Maintenance School|Flight Training Program|FAA Part 141 School|FAA Part 61 School|",2.5,,|911007|911010|,,,,
200304,100078,NMAAA Scholarship,https://www.nmagaviation.org/our-scholarship,Wade,Berry,wadeberry11@gmail.com,(575) 640-7258,Two (2) $750 awards,These scholarships may be awarded exclusively to freshmen students of New Mexico State University. These scholarships shall be in the amount of $750 ($375.00 per semester) and are available for first time students whose \major\ is in agriculture or in an ag-related field.,Annual,"1. Must be a freshman student attending New Mexico State University.<br>2. Must be majoring in agriculture or in an ag-related field.<br>3. Must have been accepted by the college or university as a full time student, and remain in good standing.<br>4. In order to receive the second semester scholarship at NMSU, the recipient must have had, and submit proof of a 2.75 GPA or above during the first semester.<br>",1. The applicant must submit the Scholarship Application.<br>2. The applicant must submit 3 letters of recommendation<br>3. The applicant must submit a 1 page (typed and double spaced) essay on \What agriculture means to me.\<br>4. The applicant must submit a high school or college transcript.,,,12/31/2019,,,,,|913001|913002|913004|,Done,|College Freshman|,|914001|,|Four-year College or University|,0,,|911001|,,,,
200459,100070,Buttgenbach Foundation Private Pilot Scholarship,https://www.ngpa.org/scholarships,,,scholarships@ngpa.org,,"$10,000 ","Whether it\''''s getting a private pilot\''''s license, an advanced certificate or rating, or even an A&P license or float plane endorsement, NGPA scholarships provide a stepping stone for aspiring individuals at a crucial point in their education. NGPA scholarships are open to everyone regardless of sexual orientation or gender identity. Applicants should be able to demonstrate their support and advocacy for the LGBT community.",Annual,1. Must be a NGPA member at the time of application submission.<br>2. Be at least 17 years of age.<br>3. Have at least 10 hours of flight time.<br>4. Possess at least a current third-class medical.,,,6/1/2020,8/31/2020,,17,,,,Done,,,,0,,|911004|,,,,
200301,100015,Neil Armstrong Graduate Award,https://www.aiaa.org/home/get-involved/students-educators/scholarships-graduate-awards,Michael,Lagana,scholarships@aiaa.org,(703) 264-7503,"$5,000 ",The AIAA Foundation annually awards financial aid to undergraduate and graduate students in science or engineering programs to help support future aerospace professionals.<br><br>This scholarship is offered each year to graduate students doing excellent research in the air and space sciences.,Annual,1. Must be a current AIAA member in good standing.<br>2. Must have completed at least one academic quarter or semester of full-time graduate-level college work and have a research topic approved.<br>3. Must have a minimum cumulative GPA of 3.0 on a 4.0 scale<br>4. Must be enrolled in an accredited college or university within the United States or U.S. territories.<br>5. Must be a United States citizen.<br>6. Must be continuing graduate work in some field of science or engineering encompassed by the technical activities of AIAA.<br>7. Research description is limited to six (6) pages.,"1. Official College/University Transcripts* (if you\''''ve attended more than one College/University, official transcripts for all graduate level work from ALL schools must be provided), including all graduate work completed through the most recent Fall term.<br>2. Assessment of a 500-1,000 word typewritten essay, specifying the applicant\''''s career objectives and an outline of the academic program required to achieve the career objectives.<br>3. A research description that (1) Must be in PDF format, (2) Must be 1-20 pages (Descriptions over 20 pages will not be accepted), and (3) Clearly defines hypotheses, research approach, objectives, and benefits of research.<br>4. Three (3) professional letters of recommendation (recommendations from relatives will not be accepted). Letters of recommendation must be submitted via the online application system.<br>5. Extracurricular activities, including high school, college and community activities, offices, awards, and work experience will receive due consideration.",,10/1/2019,1/31/2020,,,,|912001|,|913008|913009|,Done,|Bachelor\'s Degree|Pursuing Master\'s Degree|,|914001|,|Four-year College or University|Graduate School|,3,,|911008|,,,,
200490,100122,WTS Transportation YOU High School Scholarship,http://eaavintage.org/wts-2013-scholarship/,,,,,,,,,,,,,,,,,,Incomplete,,,,0,,,,,,
200335,100139,Pratt & Whitney Engine Maintenance Training Scholarship (Category I) for Active Maintenance Professionals,https://www.awam.org/content.aspx?page_id=22&club_id=975301&module_id=312596,Stacey,Rudser,scholarships@awam.org,,"Six (6) $5,500 awards",The Pratt & Whitney Engine Maintenance Scholarship is designed to support those in the aviation industry. They offer a variety of instructor-led engine maintenance courses on large commercial engines or the smaller Pratt & Whitney Canada PT6 engine series. Hotel accommodations are included as part of the scholarship. Previous P&W scholarship winners are ineligible for applying for this scholarship.,Annual,"1. Must be an active AWAM member.<br><br>NOTE: For international travel - If you are selected as a winner and live outside of the United States, Pratt & Whitney will incur the cost of airfare to one of our international training center locations in Beijing, China, or Hyderabad, India, or to the closest Flight Safety International facility. You will be responsible for your airfare if you\''''d prefer to take training in the United States.","Please scan the following documents into a single PDF file in the order they are listed below. You must<br>attach a separate set of application documents for each scholarship you are applying for that requires an<br>extra essay. <br>1. Resume<br>2. Essay (250 words) explaining your interest in aviation.<br>3. Two letters of recommendation<br>4. Copy of A&P Certificate<br>5. An additional short essay (250 words) answering the following question: If you were selected to win the Pratt & Whitney Engine Maintenance Training Scholarship, how would you use it to enhance your career growth?",,,11/1/2020,,,,,,Done,,,,0,,|911007|,,,|918001|918002|918003|918004|,
200212,100153,Garmin GTN & G500/600 Course Scholarship,https://www.whirlygirls.org/scholarship-offerings-and-requirements-scholarships/,Katie,Downey,scholarshipdir1@whirlygirls.org,,Course valued at $795 - Two (2) available,Garmin Aviation Training is providing two scholarships to Whirly-Girls who wish to improve their knowledge in how to maximize the benefits of Garmin equipment capabilities and increase their confidence in the use and integration of Garmin equipment as part of their flight operations. Location of the Garmin course is dependent on the course date attended by each recipient.,Annual,"1. Must be a helicopter pilot with at least a private certificate/license.<br>2. She must be a member in good standing at the time of application submission, award of scholarship, and during scholarship training, and must have joined the Whirly-Girls no later than August 23, 2019.<br>3. Scholarship training must be completed on the specified course date in 2020.",,,,9/8/2019,|Female|,,,,,Done,,,,0,,|911004|,,,,
200045,100088,Allied Professions Scholarship,https://nwaaae.site-ym.com/page/Scholarships,David Ulane<br>Andrew Leeming,,david.ulane@state.co.us<br>andrewleeming@yxe.ca,(303) 512-5254<br>(306) 975-6466,"$1,000 ",This scholarship is provided to students who are pursuing a degree in a course of study allied with the airport management profession and are enrolled as a full time junior or senior at an accredited college or university.,Annual,"1. Must be a member, or a dependent of a member, of the Northwest Chapter for at least six months. (Preference will be given to applicants associated with a member that works within the Northwest Chapter region.)<br>2. Must have a cumulative GPA of 3.0 or better.<br>3. Must be enrolled as a full time junior or senior at an accredited college or university and pursuing a degree in Engineering, Architecture, Information Technology, Business Administration, or Finance/Accounting that is allied with the Airport Management profession.","1. Provide a biographical statement and demonstrate an understanding of how their Allied Profession/major can serve as an entry point into the airport management profession and/or how their Allied Profession/major supports airport management professionals in their work.<br>2. Submit a certified college transcript with your application or no later than the application deadline. A certified transcript is one issued by the college in a sealed envelope or directly sent to NWAAAE.<br>3. Applications and all supporting documentation must be received by the Northwest Chapter by November 20, 2019 to be eligible for consideration. This includes receipt of your certified transcript.",,,11/20/2019,,,,,|913006|913007|,Done,|College Junior|College Senior|,|914001|,|Four-year College or University|Two-year College|,3,,|911005|911008|,,,,
200293,100034,Motorola Solutions Foundation Public Safety Explorer Scholarship,https://www.exploring.org/scholarships/,,,exploring@lflmail.org,(972) 580-2433,"Five (5) $2,000 awards","The National Exploring Committee will award five college scholarships to Law Enforcement, Fire/EMS, Health, Aviation, or Law & Government Explorers studying in the field of public safety. Applicant\''''s description of their personal record should show that they can successfully complete the public safety career educational activity for which they are requesting the scholarship. Also their personal record should show their involvement in life skills, citizenship, leadership, and character education experiences that add to the quality of life.",Annual,"1. Currently registered and active in a Law Enforcement, Fire/EMS, Health, Aviation, or Law & Government Exploring Post.<br>2. Parent or guardian approval if under 18 years of age.","1. Three letters of recommendation (i.e. post Advisor, public safety professional, teacher, employer, community leader, etc.).<br>2. 500 word educational plan showing how you are going to finance your goal for a career in public safety.",,,9/30/2019,,,,,|913003|913004|913005|913006|913007|,Incomplete,,,,0,,|911005|,,,,
200006,100139,\Helping Hand\ from Rice Family Scholarships (Category II) for Part 147 A&P School Students,https://www.awam.org/content.aspx?page_id=22&club_id=975301&module_id=312596,Stacey,Rudser,scholarships@awam.org,,Two (2) $750 awards,These scholarships provide financial assistance to two deserving aviation maintenance students.,Annual,"1. Must be an active AWAM member.<br>2. Must be students in an aviation maintenance program.<br>3. First scholarship will go to a first-year female student.<br>4. Second scholarship will go to a male or female student, in any year of training.",Please scan the following documents into a single PDF file in the order they are listed below. You must attach a separate set of application documents for each scholarship you are applying for that requires an extra essay. <br>1. Resume<br>2. Essay (250 words) explaining your interest in aviation.<br>3. Two letters of recommendation<br>4. Unofficial Transcript(s)<br>5. An additional short essay (200 words) on what drew them to a career in Aviation Maintenance.,,,11/1/2020,,,,,|913001|913003|913004|913005|913006|913007|,Done,|College Freshman|College Sophomore|College Junior|College Senior|Bachelor\'s Degree|Pursuing Master\'s Degree|Master\'s Degree|,,"|Four-year College or University|Two-year College|Trade, Technical or Vocational School|FAA Part 147 Aviation Maintenance School|Graduate School|",0,,|911007|,,,|918001|918002|918003|918004|,
200221,100069,International Operators Scholarship,https://nbaa.org/professional-development/scholarships/international-operators-scholarship/,Molly,Hitch,scholarships@nbaa.org,(202) 783-9353,"Educational or training costs up to $9,000","The NBAA International Operators Committee is dedicated to promoting education and training as a means for individuals to enhance their safety knowledge and professionalism. To further this objective, NBAA Charities offers the International Operators Scholarship to benefit business aviation professionals engaged in international operations.",Annual,"1. Must be an individual entering the business aviation industry, or current aviation professional seeking to expand their career in international operations.<br>2. Must be at least 18 years old.",1. Essay.<br>2. At least one signed letter of recommendation.,,,12/20/2019,,18,,,,Incomplete,,,,0,,|911005|,,,,
200027,100008,AECOM FLY Scholarship,https://www.amac-org.com/foundation/scholarships/,Terri,Frierson,foundation@amac-org.com,(703) 414-2622,Not specified,"This scholarship is awarded to a student who demonstrates an interest in pursuing an aviation related career to cover educational and related costs in architectural, engineering or construction disciplines.",Annual,"1. Must be a student who demonstrates an interest and desire to pursue a career in an aviation related career in architectural, engineering, or construction disciplines.<br>2. Must be a high school student accepted, an undergraduate or graduate student enrolled at an approved accredited college or university with a minimum GPA of 2.5.<br>3. Involvement in community activities and extracurricular activities.<br>4. A commitment to involvement in furthering the mission of the Airport Minority Advisory Council by participating in the AMAC Student Program.<br>5. Successfully complete and submit application materials as further outlined.<br>6. Must be a U.S. Citizen.","1. Must become a student member of AMAC. <br>2. Enclose an essay (not to exceed 750 words, please type full name on all pages) addressing one of the following:<br>3. Submit at least two (2) letters of recommendation from persons, who are not relatives that can comment on your academic and career goals. Recommendation letters should contain the following information provided by your reference: name, address, contact number, email and signature.<br>4. Submit one 5\ x 7\ (400x600 pixels) digital color photograph suitable for publication if scholarship is awarded.<br>5. Submit a two (2) paragraph biography summarizing employment, volunteer work, awards and academic accomplishments.",,,2/14/2020,,,,|912001|,|913003|913004|913005|913006|913007|913008|913009|,Done,|High School Senior (12th)|High School Graduate (or GED)|College Freshman|College Sophomore|College Junior|College Senior|Bachelor\'s Degree|Pursuing Master\'s Degree|Master\'s Degree|Pursuing Doctoral Degree|Doctoral Degree|,|914004|914001|914002|,"|High School|Four-year College or University|Two-year College|Trade, Technical or Vocational School|FAA Part 147 Aviation Maintenance School|Flight Training Program|FAA Part 141 School|FAA Part 61 School|Graduate School|",2.5,,|911008|,,,,
