SponsorName,SponsorDescription,SponsorWebsite,SponsorLogo,SponsorContactFName,SponsorContactLName,SponsorContactEmail,SponsorContactTelephone,SponsorID,SponsorType,RecordID
The International Society of Transport Aircraft Trading,"Founded in 1983, the International Society of Transport Aircraft Trading (ISTAT) is the premier international, not-for-profit organization dedicated to providing aviation professionals with forums for increased networking and educational opportunities. ISTAT currently represents more than 5,000 members worldwide who are involved in operating, manufacturing, maintaining, selling, purchasing, financing, leasing, appraising, insuring or other activities related to the commercial aviation sector.",https://www.istat.org/,https://www.istat.org/Portals/_default/skins/siteskin/images/logo.png,Julie,Wichlin,jwichlin@istat.org,(312) 673-4730,100111,,118
The Shaskan Endowment,,,,,,,,100112,,119
Southwest Chapter - American Association of Airport Executives,"The Southwest Chapter of the American Association of Airport Executives was originally formed in 1947 as the California Association of Airport Executives (CAAE), the organization has expanded over the years and in 1979 became the Southwest Chapter of the nationwide American Association of Airport Executives (AAAE). The Chapter''''s membership includes airport representatives primarily from the states of California, Arizona and Nevada. Since its founding, the purpose of the organization has been to bring together all persons representing public use airports as well as persons interested in and working for the benefit of aviation.",https://swaaae.org/,https://swaaae.org/resources/Pictures/FINAL%20SWAAAE%20Logo.png,,,info@swaaae.org,(480) 403-4604,100113,,120
Texas Agricultural Aviation Association,"For over 60 years, TAAA has been the nerve center of information, education and community for ag-aviation''''s air forces in Texas. TAAA is comprised of a group of professionals dedicated to helping the Texas farming industry produce food, fiber and fuel to meet the everÂ growingÂ need of a hungry world. With the use of specially designed agricultural aircraft, these conscientious pilots use EPA approved products to eliminate crop damage incurred by the presence of weeds, insects and infertility. These members appreciate the association''''s purpose: to provide them with up-to-date information on products, equipment, technology and training, equipping them for better service in the industry.",https://www.taaa.org/,https://www.taaa.org/uploads/1/2/4/6/124623302/taaa-1-taaa-1-logo-wtype1-e1546750117206.jpg,,,kimcash@thetexascapitol.com,(512) 565-0448,100114,,121
Sporty's Foundation,"The Sportyâ€™s Foundation funds programs that work to educate young people on the excitement and life-enhancing potential of general aviation. To ensure maximum return on donor investments, 100 percent of The Sportyâ€™s Foundation operating costs are underwritten by Sportyâ€™s Pilot Shop.",https://sportysfoundation.org/,https://sportysfoundation.org/files/2012/08/Found-2015-navy-copy-e1434487393968.jpg,,,,,100115,,122
Vertical Flight Society,"The Vertical Flight Society, founded in 1943 as the American Helicopter Society, Inc., is the world\''''s only international technical society for engineers, scientists and others working to advance vertical flight technology.",https://vtol.org/,https://vtol.org/images/frontPageLogo.png,,,,(703) 684-6777,100121,,124
Vintage Aircraft Association,"Our members include pilots, mechanics and non-pilots. The EAA Vintage Aircraft Association (VAA) brings together people from around the world who share a common interest in the aircraft of yesteryear. Plain and simple, we are all lovers of vintage aircraft and are the largest organization in the world dedicated to the preservation and restoration of vintage aircraft.",http://eaavintage.org/,https://www.eaa.org/eaa/aviation-interests/~/media/1f4e0efc07a14d01b4800bdc64c63860.ashx?la=en&h=99&w=269,Amy,Lemke,membership@eaa.org,(920) 426-6110,100122,,125
"West Virginia Department of Transportation, Aeronautics Commission",,,,,,,,100125,,126
Wichita Community Foundation,,,,,,,,100126,,127
"Wisconsin Department of Transportation, Bureau of Aeronautics",,,,,,,,100127,,128
Women in Aviation International,"Women in AviationÂ International is a nonprofit organization dedicated to the encouragement and advancement of women in all aviation career fields and interests. Our diverse membership includes astronauts, corporate and airline pilots, maintenance technicians, engineers, air traffic controllers, business owners, educators, journalists, flight attendants, high school and university students, air show performers, airport managers and many others.",https://www.wai.org/,https://www.wai.org/sites/all/themes/wai/images/svg/wai-logo-main.svg,,,,(937) 839-4647,100128,,129
Women in Corporate Aviation,"Women in Corporate Aviation, a non-profit 501(c)(3) organization, is a group of aviation professionals, including flight department personnel, FBO managers, writers, students, training center professional and many others who work together to promote opportunities for women in aviation. From our first meeting at the Women in Aviation Conference 1993 to our growing organization today, we have networked and promoted career opportunities in business aviation. We are mentors and role models to the next generation of aviation professionals.",https://www.wca-intl.org/,https://www.wca-intl.org/wp-content/uploads/2018/05/wca-logo9.png,,,,(901) 277-7078,100129,,130
"United States Hang Gliding and Paragliding Association, Inc.","The United States Hang Gliding and Paragliding AssociationÂ is proud to serve the great sports of hang gliding and paragliding. Through programs like our Instructor Certification and Pilot Proficiency program and our monthly magazine Hang Gliding and Paragliding, the USHPA strives to promote pilot safety, skill, knowledge and above all fun. Now is the time to pursue your desire of flight. We''''ll see you in the sky.",https://www.ushpa.org/,,,,info@ushpa.org,(719) 632-8300,100130,,131
Women Military Aviators,"Women Military Aviators, Inc. is a non-profit corporation formed in 1978 to promote and preserve for historical, educational, and literary purposes the role of women pilots, navigators, and aircrew in the service of their country during times of war and peace. Today, we number over 800 members living and stationed around the world.",https://www.womenmilitaryaviators.com/,https://www.womenmilitaryaviators.com/uploads/6/9/3/7/69379497/published/wma-logo201806-h-blk-400.png?1550621715,,,board.wma@gmail.com,,100131,,132
"Wyoming Department of Transportation, Aeronautics Division",,,,,,,,100132,,133
Academy of Model Aeronautics,"AMA is the world''''s largest model aviation association, representing a membership of nearly 200,000 from every walk of life, income level, and age group. This non-profit organization''''s purpose is to promote development of model aviation as a recognized sport and worthwhile recreation activity.",https://www.modelaircraft.org/,https://i1.wp.com/www.suasnews.com/wp-content/uploads/2014/06/AMAlogo21.png?fit=250%2C116&ssl=1,Mandee,Mikulski,mandeem@modelaircraft.org,(765) 287-1256,100133,,134
Tourism Cares,"Tourism Cares'''' mission is to advance the travel industry''''s positive social and environmental impact. We believe it is in our best interest to support the destinations we all depend on so that communities, travelers and businesses can prosper.",https://www.tourismcares.org/,https://static1.squarespace.com/static/54de6549e4b054179782b0eb/t/5d65467f5fd94b0001fb93a7/1579719654158/?format=1500w,,,info@tourismcares.org,(781) 821-5990,100135,,136
Aircraft Owners and Pilots Association,"The AOPA team, operating out of offices in Frederick, Maryland, and Washington, DC, exists to protect and to grow the incredible privilege that we call general aviation.  Whether it is through educating the public about the fun and the utility that aircraft can provide, preparing resources and training material to enhance the skills of pilots everywhere, or advocating for aviation within government agenciesâ€”it is our job to maintain the strength and vitality of the flying community. Our mission is to ensure that the sky remains within reach of everyone who dreams of becoming a pilot.",https://www.aopa.org/,https://www.aopa.org/-/media/Images/AOPA-Main/AOPA-Logo_Primary.png?h=97&w=160&la=en&hash=16E7CB979151F1F6686AA97068879317,Mark,Baker,mark@aopa.org,(800) 872-2672,100136,,137
Airline Dispatchers Federation,"The Airline Dispatchers FederationÂ is the only national organization representing the professional interests of the dispatch profession. ADF''''s constituency is comprised of licensed aircraft dispatchers and operational control professionals from 100 aerospace companies including every major U.S. airline. ADF''''s membership as of August 2016 stood at 2,200 members. It has been estimated that approximate 92% of airline passengers traveling each day in the United States, do so under the watchful eye of ADF members.",www.dispatcher.org,https://www.dispatcher.org/images/ADFLogo2015.jpg,Deborah,Kowalewski,scholarship@dispatcher.org,(800) 676-2685,100137,,138
Vietnam Helicopter Pilots Association,"VHPA''''s mission is to enhance and accredit the cohesiveness, esprit de corps, and traditions of valor of rotary wing aircrews that flew in Southeast Asia during the Vietnam Era.",https://www.vhpa.org/index.htm,https://www.vhpa.org/images/vhpalogo.gif,,,,,100151,,151
Airport Consultants Council,The Airport Consultants Council (ACC) is the global trade association that represents private businesses involved in the development and operations of airports and related facilities. ACC is the only association that focuses exclusively on the business interests of firms with airport-related technical expertise. ACC informs its members of new trends while promoting fair competition and procurement practices that protect the industry's bottom line.,https://www.acconline.org/,https://images.app.goo.gl/nCuQyr2zQ3LdnHkq5,,,,(703) 683-5900,100138,,139
Association for Women in Aviation Maintenance,"AWAM is a nonprofit organization formed for the purpose of championing women''''s professional growth and enrichment in aviation maintenance by providing opportunities for sharing information and networking, education, fostering a sense of community and increasing public awareness of women in the industry.",https://www.awam.org/content.aspx?page_id=0&club_id=975301,https://s3.amazonaws.com/ClubExpressClubFiles/975301/graphics/19_AWAM_HD_lady_logo_from_vector_1409759461.jpg,,,,(386) 416-0248,100139,,140
"Association of Flight Attendants, AFL-CIO","The Association of Flight Attendants-CWA (AFA-CWA) is the flight attendant union organized by flight attendants for flight attendants. AFA represents nearly 50,000 flight attendants at 20 airlines, serving as a voice for flight attendants at their workplace, in the industry, in the media and on Capitol Hill. Simply put, the goal of flight attendants who become part of AFA-CWA is to negotiate better pay, benefits, working conditions and work rules at their airline, and to improve their safety on the job.",https://www.afacwa.org/,https://d3n8a8pro7vhmx.cloudfront.net/afacwa/pages/75/meta_images/original/AFA_Logo_Transparent_Blue.png?1538592073,,,,(202) 434-1300,100140,,141
Astronaut Scholarship Foundation,"The Astronaut Scholarship Foundation''''s mission is to aid the United States in retaining its world leadership in technology and innovation by supporting the very best and brightest scholars in science, technology, engineering and mathematics while commemorating the legacy of America''''s pioneering astronauts.",https://astronautscholarship.org/,https://astronautscholarship.org/images/primary/logo.png,,,info@astronautscholarship.org,(407) 362-7900,100142,,142
Avfuel,"Avfuel is a leading independent global supplier of aviation fuel and services. Headquartered in Ann Arbor, Michigan, Avfuel connects a diverse array of aviation customers with the systems and solutions needed to attract more business and to conduct operations efficiently and effectively. Airlines, freight and cargo companies, corporate flight departments, airports and municipalities, fixed-base operators (FBOs), crop dusters, helicopters, and the military represent just some of the customer types that benefit from Avfuel''''s innovative fuel and service solutions.",https://www.avfuel.com/,https://www.avfuel.com/Portals/0/AVLg.png,,,info@avfuel.com,(734) 663-6466,100143,,143
Experimental Aircraft Association,EAA was founded in 1953 by Paul H. Poberezny who served as the organization's president from 1953 to 1989 and then as chairman of the board until 2009. It has grown from a handful of aviation enthusiasts to an international organization representing virtually the entire spectrum of recreational aviation.,https://www.eaa.org/eaa,https://www.eaa.org/-/media/Images/Logos/EAA_NoTag_1cLogo_white-Small.ashx,,,membership@eaa.org,(920) 426-4800,100144,,144
International Flight Services Association,"Headquartered in Atlanta, Georgia, the International Flight Services Association is a global professional association created to serve the needs and interests of airline and railway personnel, inflight and rail caterers and suppliers responsible for providingÂ onboard services on regularly scheduled travel routes. IFSA''''s membership is dedicated to the advancement of the art and science of the multi-billion dollar inflight andÂ railway onboard services industry.",https://ifsa.aero/,https://ifsa.aero/graphics/ifsa-logo.png,,,,(678) 298-1187,100145,,145
Northwest Data Solutions,"NorthWest Data Solutions is web design and development firm dedicated to helping corporate clients create, maintain and maximize their brand online. Our team of principals, web site designers, web application programmers and database experts have helped clients across the country. We can help you with user interface (UI) design and visual design for new and existing web applications.",https://www.nwds-ak.com/,https://www.nwds-ak.com/Portals/1/images/NorthWest-Logo.png?ver=2019-12-24-152352-893,Christopher,Howell,sales@nwds-ak.com,(907) 227-1676,100146,,146
Organization of Black Aerospace Professionals,"Founded in 1976, the Organization of Black Aerospace Professionals is a nonprofit organization dedicated to the encouragement and advancement of minorities in all aviation and aerospace careers. OBAP members encourage diversity in the industry by supporting aspiring aviation professionals through Project Aerospace, a series of scholarships, mentoring, training, and youth-focused education programs.",https://obap.org/,https://obap.org/wp-content/uploads/2019/08/OBAP_Logo_160.png,,,nationaloffice@obap.org,(800) 538-6227,100147,,147
Popular Rotorcraft Association,"Popular Rotorcraft Association was started in 1962 by Igor Bensen, the inventor of the famous Bensen Gyrocopter. Since then it has grown to include rotorcraft of all sorts with members in over 80 countries. We are a group of people who love homebuilt rotorcraft - gyroplanes and helicopters that they build and fly themselves. These rotorcraft enthusiasts get together to exchange ideas, information, help one another, promote safety and help with flight training.",https://www.pra.org/default.aspx?p=home&i=1,https://www.pra.org/App_Themes/aviation/images/banner.jpg,John,Rountree,JohnRountree@msn.com,(574) 353-7227,100148,,148
The Airport Purchasing Group,"The Airport Purchasing Group (APG) is a valuable resource for airport purchasing officials who have a quest for excellence in delivering value to their customers. The primary goal of the APG is the advancement of the procurement profession, specifically as it relates to airport procurement professionals. Our membership consists of individuals from county and local units of government, and airport authorities throughout the world. The APG provides its membership with several unique opportunities to connect with other airport procurement professionals.",https://www.airportpurchasing.org/,https://www.airportpurchasing.org/chapters/nigp-apg/graphics/logo.png,Tracy,Osborne,tosborne@columbusairports.com,(614) 239-4031,100149,,149
"The Ninety-Nines, Inc.","THE NINETY-NINES, INC., is an international organization of licensed women pilots from 44 countries - we currently have thousands of  members throughout the world. We are a non-profit, charitable membership corporation holding 501(c)(3) U.S. tax status. Our International Headquarters is located in Oklahoma City, Oklahoma. Although there are other female pilot organizations in various states and nations, virtually all women of achievement in aviation have been or are members of The Ninety-Nines. Today Ninety-Nines are professional pilots for airlines, industry and government; we are pilots who teach and pilots who fly for pleasure; we are pilots who are technicians and mechanics. But first and foremost, we are women who love to fly!",https://www.ninety-nines.org/,https://www.ninety-nines.org/webart/theme2/logo.png,,,President@ninety-nines.org,(844) 994-1929,100150,,150
Western Sport Pilot Association,"The Western Sport Pilot Association LLC was formed originally as the Western Powered Parachute Association (WPPA) values connecting with other organizations, pilots and instructors who are flying other category and classes of light sport aircraft. The structure and organizational philosophy of the WPPA was already proven successful and a decision was made to ''do business as'''" the Western Sport Pilot Association. We provide training from introductory lessons through the FAA Certified Instructor course and private pilot ratings in all categories.  Our flying is year-round in some of the most beautiful areas in the Western United States.'"",http://westernppa.org/,http://westernppa.org/,Doug,Maas,westernppa@comcast.net,,100152,,152
Whirly-Girls International Women Helicopter Pilots,"Whirly-Girls International is a nonprofit, educational and charitable organization dedicated to advancing women in helicopter aviation. The organization''''s goals include the following: (1) Promotion of women in the helicopter industry through scholarship awards, mentoring, public appearances, press releases, magazine articles and informational displays in aviation museums, (2) Exchange of information among women in helicopter aviation, and (3) Promotion of community acceptance of rotorcraft through increasing public awareness of rotorcraft utility and versatility.",https://www.whirlygirls.org/,https://www.whirlygirls.org/wp-content/themes/WhirlyGirls/images/logo.png,,,,,100153,,153
Wichita Aero Club,"The Wichita Aero Club has been established to foster and promote interest in aviation, to provide a forum that focuses on the industry''''s issues and achievements, and to bring together those with a passion for flight in an environment that expands and enhances professional relationships and furthers cooperation and understanding.",https://www.wichitaaero.club/,https://static1.squarespace.com/static/5b9497068ab722e1836418f7/t/5b987f2488251bd9ec4501f4/1575988615172/?format=1500w,,,into@wichitaaero.club,(316) 641.5962,100154,,154
Aero Club of New England,"The Aero Club of New England (ACONE) is a club which focuses on aviation safety seminars, scholarships for aviation technical training and flight training while sharing the social aspect with those who have a passion for flight.",www.acone.org,https://s3.amazonaws.com/ClubExpressClubFiles/779885/graphics/ACONE_logo_no_background_1064959631.png,Mark,Holzwarth,mark@ecacbed.com,(781) 274-6322,100001,,1
Arkansas Agricultural Aviation Association,"AAAA is a non-profit organization that represents the agricultural aviation industry in Arkansas. Our membership is comprised of operators/managers, pilots, ground grew, and associates.",https://www.araaa.org/,https://www.araaa.org/images/logo.png,Katherine,Holmstrom,katherine@araaa.org,(501) 503-3310,100018,|919002|,33
Colorado Agricultural Aircraft Association,"The purpose of CAAA is to serve its membership in legislative concerns, education of pertinent issues, and to promote technical programs to enhance the betterment of Agricultural Aviation and it related activities.",https://caaa.wildapricot.org/,https://caaa.wildapricot.org/resources/Pictures/COAGAV%20Logo.png,,,coagav@gmail.com,(719) 362-0743,100030,|919002|,46
Kansas Agricultural Aviation Association,"KAAA is composed of any person or organization engaged in aerial application and/or manufacturing and/or distribution of related equipment and materials, or persons engaged in aerial application as a profession. The purpose of the corporation is to foster and promote the safe and accurate aerial application of crop protection products.",https://www.ksagaviation.org/,https://www.ksagaviation.org/wp-content/uploads/2015/04/KAAA-logo-color-1000.png,Rhonda,McCurry,,(316) 796-1180,100051,|919002|,64
National Agricultural Aviation Association,"NAAA supports the interests of small business owners and pilots licensed as professional commercial aerial applicators who use aircraft to enhance food, fiber, and bio-fuel production, protect forestry, and control health-threatening pests.",https://www.agaviation.org/,https://www.agaviation.org/images/theme/logo.png,Andrew,Moore,information@agaviation.org,(202) 546-5722,100064,|919002|,74
Nebraska Aviation Trades Association,NATA is a non-profit state trade association which represents the aerial application industry in Nebraska.,http://gonata.net/,https://images.squarespace-cdn.com/content/v1/5a0b5303d74cff89685f04de/1511989614931-6X08B2A8CHG9I2MH6Z41/ke17ZwdGBToddI8pDm48kDrQ9tfdcvPUv7NgXGP4R2R7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0gmXcXvEVFTLbYX9CdVcGe4zwrosjp5YtnrvbmlM1LFKb7wNXE8lRZ0Z8l5PIsW3Vw/NATA+AAMWeb.jpg,Taylor,Moorel,taylor@youraam.com,(531) 289-8232,100072,|919002|,82
New Mexico Agricultural Aircraft Association,"New Mexico Agricultural Aircraft Association is a group of aerial applicators from New Mexico and West Texas who meet, fellowship and discuss the past and the future of the Aerial Application Industry. Their goal is to be as well informed as possible on the newest aspects of mechanical, chemical and application technologies available.",https://www.nmagaviation.org/,"https://static.wixstatic.com/media/0c89ec_d2bc39022c45486387d109df936acf91.png/v1/fill/w_172,h_167,al_c,q_80,usm_0.66_1.00_0.01/0c89ec_d2bc39022c45486387d109df936acf91.webp",Wade,Berry,wadeberry11@gmail.com,(512) 708-0632,100078,|919003|,88
South Dakota Aviation Association,"The South Dakota Aviation Association is an organization comprised of pilots, business owners and allied industry representatives. We use aircraft to assist agricultural producers in the production of food, fiber and biofuel. Our pilots take to the skies to not only protect crops, but also rangeland, timber and areas threatened by fire.",http://www.sdagaviation.com/,,Andrea Barber,Goebel,sdaviation@gmail.com,(605) 690-3477,100106,|919003|,113
American Institute of Aeronautics and Astronautics,"AIAA has dedicated itself to shaping the future of aerospace and our future includes YOU. We believe that aeronautic and astronautic professionals and students and STEM educators are the drivers of global innovation. We are committed to providing resources and experiences that assist in your personal and professional development. Together we make the world a safer, more accessible, and prosperous place.",https://www.aiaa.org/,https://www.aiaa.org/images/default-source/site-design/logos/logo.png?sfvrsn=59ffaa92_4,,,custserv@aiaa.org,(800) 639-2422,100015,|919004|919005|,32
American Association of Airport Executives,"AAAE is the world''''s largest professional organization for airport executives, representing thousands of airport management personnel at public-use commercial and general aviation airports. AAAE''''s members represent nearly 875 airports and authorities, in addition to hundreds of companies and organizations that support airports. AAAE serves its membership through results-oriented representation in Washington, D.C. and delivers a wide range of industry services and professional development opportunities including training, meetings and conferences, and a highly respected accreditation program.",https://www.aaae.org/aaae/,https://media.licdn.com/dms/image/C4E0BAQEyEss1xhWuSw/company-logo_200_200/0?e=2159024400&v=beta&t=58Iftf_ZANE6ytLcJgqhox4cZv8daRxNPK59Gu591sM,Gwen,Basaria,gwen.basaria@aaae.org,(703) 824-0504,100134,|919001|919006|,135
